id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
1,1.0044634,0.035960555,0.772406,2.4543397,0.8753026,-0.8374679,0.18909699,3.770535,-0.59498024,-0.6883402,-1.0695528,0.6942397,-0.2507076,1.1418282,-0.67465323,1.5916642,-0.56796163,0.6331024,0.672922,0.18597154,1.695886,-1.0156602,-2.2078588,-1.2290988,0.46799508,0.27207854,-0.6014023,0.90898716,1.3886117,0.64488286,0.20187902,1.3731186,0.83966887,-0.34803322,0.044284042,-0.5679793,2.355435,0.777444,-0.101559326,-0.63401383
2,0.944002,0.46293157,0.15248805,0.86086524,1.881694,2.1282148,1.5541997,-0.90833235,1.0889738,0.600917,-0.73395693,2.0627775,1.3988686,0.66117066,-0.9658434,-0.0035373587,0.3051485,-1.5627815,-0.90697545,-0.5827027,0.0105696255,0.68585104,0.30212092,1.5858645,-1.1083382,-1.1366158,-0.036663286,0.23620689,0.14204031,-1.8889264,-1.4497262,1.6528794,1.2743833,0.9608904,-0.08988808,-0.56568253,0.4996891,0.110210784,-0.8006955,-1.6890137
3,-0.115941525,1.4554517,-0.39372623,1.7726579,1.0631138,3.2392652,1.7981249,0.98744655,0.2863348,2.018633,1.2893922,-0.8322207,0.9708081,0.20201881,-0.7137667,0.7957767,0.92833203,1.1791996,0.46295395,0.82411647,-0.33077934,1.2866516,1.3878841,1.0922024,-0.7864443,0.16964597,-0.8475525,0.40367624,1.6190671,-0.13130736,0.4649397,-1.1796004,0.76699066,0.98451865,1.828292,-0.03669235,0.49699587,-0.14087732,-0.46291068,-0.53536135
4,-1.3827634,-0.9616144,-0.42038184,-0.310804,0.3752619,-1.4793653,-0.62582594,-1.2039969,-1.1839561,-0.52926755,-0.89621216,0.006859366,-0.8523597,-0.42713776,1.3696985,-1.8441838,-0.67461085,-1.45484,0.43016917,0.19428657,1.3479728,-1.1080413,0.05365336,-0.74824023,1.8149287,1.5608808,0.63890463,0.4988656,-0.3937885,1.8352206,-0.37745515,0.68163675,0.37275198,0.0115043055,-1.1375762,-0.8807175,-0.29855204,-0.5468896,-1.0219486,-0.5268211
5,1.0387326,0.4168924,-0.9994769,1.2286903,0.8115548,-0.12881052,0.44616222,-0.50941765,1.5996398,-0.65967834,-0.22246933,1.0718902,-0.09003693,-0.43724403,0.5003323,-0.77736044,-0.22218661,-0.3246002,-0.91603976,0.44584668,-0.4932649,1.6175541,0.241951,-1.0191503,0.7689941,-0.65142685,0.8426485,0.44423646,0.49823922,0.8074161,-0.6003057,0.48092738,1.7534499,0.75340945,0.20556255,-0.69218266,-0.575882,-0.6734324,-0.62677485,-0.13374208
6,0.75107837,2.3076034,2.5235062,-0.84524393,2.0899453,1.724309,2.3802176,1.0509009,1.2775393,2.0444546,-1.2834324,-0.18197383,-0.33224946,-0.4483003,1.700422,-1.3640862,0.6735148,0.89257735,-0.019351378,-2.1340907,-0.48895448,0.044802267,0.68958116,-0.45268822,-0.5681933,-0.2467743,-1.3606894,-0.19301456,-1.7941792,-0.553357,-1.3561381,-1.3797995,1.5854281,-0.72885716,0.8394643,0.9191507,-1.3136412,0.68998,-0.5139181,-0.9930249
7,-1.807389,-0.24709684,-2.775083,-1.6241684,-1.318635,0.84136844,-0.7496139,-1.3698078,-2.0880113,-0.903733,0.38022277,-0.6423519,0.15907876,0.722841,0.5503001,0.30449682,-0.43417022,1.4768748,-1.495515,0.80971014,-0.84230334,-0.09117199,0.6956944,0.20118463,0.26943234,-0.122381404,0.113781646,-0.3553502,1.4341819,-0.8123036,-1.0442592,-0.09560442,-0.49023572,-0.027799066,-0.4154711,-0.591052,2.0076575,1.5179771,-1.657213,-0.7646663
8,-2.4740276,0.44556296,-0.75207585,-1.1100395,-0.4874912,-0.10443342,-1.903508,0.9358361,-0.19706905,-0.39599586,1.3823746,-0.6025372,1.0056057,-0.57967174,0.5207631,0.52845633,-1.1507308,-0.32657364,-0.8172046,-1.411956,0.71955377,-1.6055211,-1.5813088,0.77861,-0.05491978,0.039773677,-0.09047269,-1.9420884,-0.8778947,-0.29408714,-0.09288854,0.24728735,0.06921993,-0.8157288,-0.50442,-0.8417432,-0.98617816,-0.9560837,-1.1892773,-1.7189537
9,-2.017272,-0.9593022,-2.0723023,-1.7159364,-0.2788698,-0.63687557,0.63867915,-1.8540103,-0.77799344,-1.3717345,-0.68008596,0.3505108,0.011208067,-1.9865925,-0.1407082,-0.16501126,-1.4737673,-0.21385321,-0.014245667,-0.37603852,0.086327374,1.0538111,0.50648654,-0.3885264,-0.23573641,0.5314398,0.33574218,0.25303763,-0.4743123,2.510897,0.80353737,0.19465938,-1.0816245,2.015499,-0.9545167,1.1203424,1.5815604,-0.6102861,0.14866367,0.8004859
10,-0.54136074,1.5277361,1.759304,0.6884326,3.0107913,-1.1703353,0.9136704,-0.7154161,1.4488621,0.84483874,1.5544131,0.38688847,-0.9802577,0.11615849,0.7528837,-0.40876675,0.8345366,-0.41555524,-0.111655734,0.6144585,0.26774216,-0.1544481,0.79644674,-0.37923867,0.11484639,2.2739334,-1.2324913,-0.32423028,1.5684677,1.525067,0.8137455,-0.37344673,-1.1049587,0.02845918,1.5661929,-0.09931121,-0.109296836,-0.7598286,0.41566545,0.45158285
